location_id,split,split_seed,split_protocol
0002,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0007,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0008,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0009,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0023,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0024,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0027,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0029,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0036,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0040,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0041,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0051,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0056,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0057,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0058,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0060,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0063,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0071,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0072,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0087,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0088,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0108,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0109,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0115,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0130,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0140,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0144,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0151,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0152,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0155,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0164,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0167,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0169,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0174,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0182,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0186,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0189,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0190,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0192,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0198,test,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0001,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0003,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0004,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0005,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0006,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0011,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0013,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0014,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0015,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
0016,train,42,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
