map_id,tile_id,location_id,class_id,split,source_view,absolute_path,relative_path,filename,positive_location_id,crs,latitude,longitude,geographic_polygon,gsd_m_per_pixel,source_date,georeferenced,split_protocol
SUES200,sat_0002,0002,0002,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0002/0.png,satellite-view/0002/0.png,0.png,0002,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0007,0007,0007,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0007/0.png,satellite-view/0007/0.png,0.png,0007,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0008,0008,0008,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0008/0.png,satellite-view/0008/0.png,0.png,0008,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0009,0009,0009,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0009/0.png,satellite-view/0009/0.png,0.png,0009,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0023,0023,0023,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0023/0.png,satellite-view/0023/0.png,0.png,0023,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0024,0024,0024,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0024/0.png,satellite-view/0024/0.png,0.png,0024,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0027,0027,0027,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0027/0.png,satellite-view/0027/0.png,0.png,0027,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0029,0029,0029,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0029/0.png,satellite-view/0029/0.png,0.png,0029,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0036,0036,0036,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0036/0.png,satellite-view/0036/0.png,0.png,0036,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0040,0040,0040,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0040/0.png,satellite-view/0040/0.png,0.png,0040,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0041,0041,0041,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0041/0.png,satellite-view/0041/0.png,0.png,0041,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0051,0051,0051,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0051/0.png,satellite-view/0051/0.png,0.png,0051,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0056,0056,0056,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0056/0.png,satellite-view/0056/0.png,0.png,0056,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0057,0057,0057,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0057/0.png,satellite-view/0057/0.png,0.png,0057,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0058,0058,0058,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0058/0.png,satellite-view/0058/0.png,0.png,0058,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0060,0060,0060,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0060/0.png,satellite-view/0060/0.png,0.png,0060,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0063,0063,0063,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0063/0.png,satellite-view/0063/0.png,0.png,0063,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0071,0071,0071,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0071/0.png,satellite-view/0071/0.png,0.png,0071,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0072,0072,0072,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0072/0.png,satellite-view/0072/0.png,0.png,0072,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0087,0087,0087,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0087/0.png,satellite-view/0087/0.png,0.png,0087,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0088,0088,0088,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0088/0.png,satellite-view/0088/0.png,0.png,0088,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0108,0108,0108,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0108/0.png,satellite-view/0108/0.png,0.png,0108,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0109,0109,0109,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0109/0.png,satellite-view/0109/0.png,0.png,0109,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0115,0115,0115,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0115/0.png,satellite-view/0115/0.png,0.png,0115,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0130,0130,0130,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0130/0.png,satellite-view/0130/0.png,0.png,0130,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
SUES200,sat_0140,0140,0140,test,satellite,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/satellite-view/0140/0.png,satellite-view/0140/0.png,0.png,0140,UNKNOWN,,,,,,False,PROJECT_DEFINED_LOCATION_DISJOINT_60_20_20
