model,map_size,query_id,query_sample_key,positive_rank,reciprocal_rank,top1_correct,top1_sample_key,top1_gallery_member,top1_similarity,positive_similarity,site_token,nominal_level_token,top1_similarity_from_top5,top2_similarity,top1_top2_margin,success_at_1,success_at_5,success_at_10
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000000,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000000,982,0.0010183299389002,False,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189/Satellite/0.jpg,0.7312993407249451,0.0156826414167881,Chuanmei,100,0.7312993407249451,0.6799694299697876,0.05132991075515747,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000001,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000001,895,0.0011173184357541,False,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189/Satellite/0.jpg,0.7245194911956787,0.0372127965092659,Chuanmei,100,0.7245194911956787,0.6727867722511292,0.05173271894454956,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000002,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000002,460,0.0021739130434782,False,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189/Satellite/0.jpg,0.7277263402938843,0.1632354855537414,Chuanmei,100,0.7277263402938843,0.6996004581451416,0.028125882148742676,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000003,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000003,666,0.0015015015015015,False,map2019/merge_test_700-1800_cr0.95_stride100/Hangdian_100_000146,map2019/merge_test_700-1800_cr0.95_stride100/Hangdian_100_000146/Satellite/0.jpg,0.7400941252708435,0.186755433678627,Chuanmei,100,0.7400941252708435,0.6929183006286621,0.047175824642181396,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000004,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000004,132,0.0075757575757575,False,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170/Satellite/0.jpg,0.7016162872314453,0.4472202956676483,Chuanmei,100,0.7016162872314453,0.6926977038383484,0.008918583393096924,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000005,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000005,940,0.001063829787234,False,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170/Satellite/0.jpg,0.7332897186279297,0.2729364931583404,Chuanmei,100,0.7332897186279297,0.711540699005127,0.021749019622802734,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000006,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000006,1527,0.0006548788474132,False,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_80_000170/Satellite/0.jpg,0.5556657910346985,0.1373667120933532,Chuanmei,100,0.5556657910346985,0.5384746193885803,0.017191171646118164,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000007,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000007,1963,0.0005094243504839,False,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_90_000180,map2019/merge_test_700-1800_cr0.95_stride100/Ligong_90_000180/Satellite/0.jpg,0.548445463180542,-0.1294268071651458,Chuanmei,100,0.548445463180542,0.5317448377609253,0.0167006254196167,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000008,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000008,1705,0.0005865102639296,False,map2019/merge_test_700-1800_cr0.95_stride100/Hangdian_90_000159,map2019/merge_test_700-1800_cr0.95_stride100/Hangdian_90_000159/Satellite/0.jpg,0.6290971636772156,-0.1145396530628204,Chuanmei,100,0.6290971636772156,0.6076985597610474,0.021398603916168213,False,False,False
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,700,q_000009,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000009,1669,0.0005991611743559,False,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000189/Satellite/0.jpg,0.7134708762168884,-0.0544727705419063,Chuanmei,100,0.7134708762168884,0.6808622479438782,0.032608628273010254,False,False,False
