view,absolute_path,relative_path,filename,path_depth,level_1,level_2,level_3,parent_folder
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/0.jpg,0001/150/0.jpg,0.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/1.jpg,0001/150/1.jpg,1.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/10.jpg,0001/150/10.jpg,10.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/11.jpg,0001/150/11.jpg,11.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/12.jpg,0001/150/12.jpg,12.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/13.jpg,0001/150/13.jpg,13.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/14.jpg,0001/150/14.jpg,14.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/15.jpg,0001/150/15.jpg,15.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/16.jpg,0001/150/16.jpg,16.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/17.jpg,0001/150/17.jpg,17.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/18.jpg,0001/150/18.jpg,18.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/19.jpg,0001/150/19.jpg,19.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/2.jpg,0001/150/2.jpg,2.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/20.jpg,0001/150/20.jpg,20.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/21.jpg,0001/150/21.jpg,21.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/22.jpg,0001/150/22.jpg,22.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/23.jpg,0001/150/23.jpg,23.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/24.jpg,0001/150/24.jpg,24.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/25.jpg,0001/150/25.jpg,25.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/26.jpg,0001/150/26.jpg,26.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/27.jpg,0001/150/27.jpg,27.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/28.jpg,0001/150/28.jpg,28.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/29.jpg,0001/150/29.jpg,29.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/3.jpg,0001/150/3.jpg,3.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/30.jpg,0001/150/30.jpg,30.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/31.jpg,0001/150/31.jpg,31.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/32.jpg,0001/150/32.jpg,32.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/33.jpg,0001/150/33.jpg,33.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/34.jpg,0001/150/34.jpg,34.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/35.jpg,0001/150/35.jpg,35.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/36.jpg,0001/150/36.jpg,36.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/37.jpg,0001/150/37.jpg,37.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/38.jpg,0001/150/38.jpg,38.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/39.jpg,0001/150/39.jpg,39.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/4.jpg,0001/150/4.jpg,4.jpg,3,0001,150,,150
drone,/content/drive/MyDrive/SUES-200-512x512_extracted/SUES-200-512x512/drone_view_512/0001/150/40.jpg,0001/150/40.jpg,40.jpg,3,0001,150,,150
